Trial,StraightDistance_px,ActualPath_px,W_px,ID_Straight_Distance,ID_Actual_Path,MT_ms,Hit,Timestamp
1,504,612,40,3.764,4.026,3569,Yes,2026-04-07T19:57:53.866Z
2,266,396,60,2.440,2.926,1603,Yes,2026-04-07T19:57:58.638Z
3,552,607,120,2.485,2.599,2646,Yes,2026-04-07T19:58:04.851Z
4,490,541,50,3.433,3.564,1779,Yes,2026-04-07T19:58:08.214Z
5,327,391,30,3.574,3.812,1540,No,2026-04-07T19:58:11.247Z
5,524,543,40,3.818,3.866,1535,Yes,2026-04-07T19:58:13.880Z
6,382,501,30,3.779,4.146,2458,Yes,2026-04-07T19:58:17.688Z
7,336,384,80,2.378,2.537,1410,Yes,2026-04-07T19:58:20.102Z
8,443,478,80,2.710,2.803,1380,Yes,2026-04-07T19:58:22.597Z
9,494,579,30,4.127,4.343,2168,Yes,2026-04-07T19:58:25.834Z
10,549,591,30,4.271,4.372,2185,Yes,2026-04-07T19:58:29.221Z
